clade	parent_taxa	unreachable_topology_count	production	arity	selected_topology_count	forced_optimum	forced_optimum_count	removed_optimum	removed_optimum_count	global_optimum_selected_count
728	3	0	131	2	287584	1617	12	1616	12	0
728	3	0	132	2	287584	1616	12	1617	12	12
729	3	0	133	3	287584	1617	12	1616	12	0
729	3	0	134	2	287584	1616	12	1617	12	12
883	5	143792	288	2	143792	1617	12	1616	12	0
883	5	143792	289	2	143792	1617	12	1616	12	0
883	5	143792	290	2	143792	1616	12	1617	24	12
887	5	522880	294	2	26144	1624	12	1616	12	0
887	5	522880	295	2	26144	1625	12	1616	12	0
900	6	454784	308	2	40128	1620	12	1616	12	0
900	6	454784	309	2	40128	1620	12	1616	12	0
900	6	454784	310	2	40128	1619	12	1616	12	0
912	6	261440	322	2	52288	1619	12	1616	12	0
912	6	261440	323	3	52288	1617	12	1616	12	0
912	6	261440	324	3	52288	1617	12	1616	12	0
912	6	261440	325	3	52288	1616	12	1617	36	12
912	6	261440	326	2	52288	1619	12	1616	12	0
912	6	261440	327	2	52288	1617	12	1616	12	0
915	6	484352	330	2	30272	1619	2	1616	12	0
915	6	484352	331	2	30272	1619	2	1616	12	0
915	6	484352	332	2	30272	1617	2	1616	12	0
930	7	313728	347	2	26144	1624	12	1616	12	0
930	7	313728	348	2	156864	1616	12	1620	12	12
930	7	313728	349	2	26144	1624	12	1616	12	0
930	7	313728	350	2	26144	1622	12	1616	12	0
930	7	313728	351	2	26144	1622	12	1616	12	0
931	7	423808	352	2	90816	1617	2	1616	12	0
931	7	423808	353	2	30272	1616	2	1616	10	2
931	7	423808	354	2	30272	1617	2	1616	12	0
943	9	514624	366	2	30272	1619	2	1616	12	0
943	9	514624	367	2	30272	1616	2	1616	10	2
978	14	254144	402	2	53504	1617	12	1616	12	0
978	14	254144	403	3	53504	1617	12	1616	12	0
978	14	254144	404	3	53504	1617	12	1616	12	0
978	14	254144	405	3	53504	1617	12	1616	12	0
978	14	254144	406	2	53504	1616	12	1617	60	12
978	14	254144	407	2	53504	1617	12	1616	12	0
996	18	133760	425	3	240768	1616	12	1619	36	12
996	18	133760	426	3	120384	1619	12	1616	12	0
996	18	133760	427	2	40128	1619	12	1616	12	0
996	18	133760	428	3	40128	1619	12	1616	12	0
1013	24	484352	445	2	30272	1619	2	1616	12	0
1013	24	484352	446	2	30272	1619	2	1616	12	0
1013	24	484352	447	2	30272	1617	2	1616	12	0
1015	25	121088	449	2	90816	1617	2	1616	12	0
1015	25	121088	450	5	30272	1616	2	1616	10	2
1015	25	121088	451	5	60544	1616	2	1616	10	2
1015	25	121088	452	5	151360	1616	2	1616	10	2
1015	25	121088	453	5	30272	1616	2	1616	10	2
1015	25	121088	454	5	30272	1616	2	1616	10	2
1015	25	121088	455	2	30272	1617	2	1616	12	0
1015	25	121088	456	2	30272	1616	2	1616	10	2
1030	41	514624	471	5	30272	1620	4	1616	12	0
1030	41	514624	472	2	30272	1618	2	1616	12	0
1060	98	254144	502	2	26752	1622	12	1616	12	0
1060	98	254144	503	2	294272	1616	12	1617	6	12
1062	116	0	505	10	143792	1618	12	1616	12	0
1062	116	0	506	9	431376	1616	12	1618	12	12
1077	286	26144	521	6	156864	1620	12	1616	12	0
1077	286	26144	522	6	26144	1626	12	1616	12	0
1077	286	26144	523	6	26144	1625	12	1616	12	0
1077	286	26144	524	5	261440	1616	12	1620	12	12
1077	286	26144	525	5	52288	1624	12	1616	12	0
1077	286	26144	526	5	26144	1624	12	1616	12	0
1078	287	0	527	2	549024	1616	12	1625	12	12
1078	287	0	528	2	26144	1625	12	1616	12	0
1086	447	548416	536	3	13376	1623	6	1616	12	0
1086	447	548416	537	2	13376	1622	6	1616	12	0
1088	462	0	539	3	160512	1616	6	1616	6	6
1088	462	0	540	2	80256	1620	6	1616	12	0
1088	462	0	541	2	26752	1622	6	1616	12	0
1088	462	0	542	2	147136	1617	6	1616	12	0
1088	462	0	543	2	160512	1616	6	1616	6	6
1090	470	0	545	2	287584	1616	12	1617	6	12
1090	470	0	546	2	287584	1617	6	1616	12	0
1093	532	0	549	6	30272	1620	2	1616	12	0
1093	532	0	550	5	60544	1618	2	1616	12	0
1093	532	0	551	5	454080	1616	12	1618	4	12
1093	532	0	552	5	30272	1618	2	1616	12	0
