class	ordinal	exact_score	topology_sha256	canonical_dag_semantic_sha256	canonical_dag_clades_sha256	canonical_dag_productions_sha256	artifact	artifact_sha256
0	401595	1616	056b574d2891fbb30af3f6bd5593b7db36c45c17396ff35f0092c956098bc83b	f50e107157d16384168b3dfe7924d551f30e57a45b887912892fa23fc6c1c375	94df2ccd9eec75e29deaea0db282b256085e854cd7ddf9ee8dd2e4291e94396e	f0f2a933cac50771415a2d2742d1ee6cd115d9d64850df471a2f01d728a3be56	build/wric-1614-experiments/full-census-w1-min.class-0.ordinal-401595.pb.gz	81a84992630e94094c31d922e677b3816c1bccdc841271704525510aaefc46f5
1	540547	1616	36bee0cbf59bb5ae7a0141a08b164317be8ab8f9c2950acc75b3a9841fea2d95	0bbaef31de91711818d63ec4f631ac1bad7af6dc1d08d0b01392288a55755fbe	52dde0969bde02837141eaf133d5118f96a013564b3345eddf6f8791b4a04759	e0bd1ac665224cc5e42ef0205b387e471b4a630023ac4f02f106dfaa614b5cd9	build/wric-1614-experiments/full-census-w1-min.class-1.ordinal-540547.pb.gz	277d608c0129293a17f6f86b0be4970594b7c2bbacd39ea25bb06788107fd1cd
2	469707	1616	5c7db6f3ab9d731890166df13e720edf304b675ce93e974e88c544af3c75d6cb	edc331fc92df0b5ccccf911e0dd2140b00fb495a8bee15989fbb37e4bb1c5547	2beb095f717c1038ec717d0144e3e86b48e66873a8546828f11f7b829dd91fb5	51eb28ff341e4617b39623bc050ff9890cad5e11866700fc0d4afd1ad59fa892	build/wric-1614-experiments/full-census-w1-min.class-2.ordinal-469707.pb.gz	0a616b0c07267030490191c9ac884303412de9b0fce1a0880ef848c07d834d53
3	507547	1616	6699594a67d702c87f3ef421189cf2efec79a03644c9f3265281d536c1a2bb40	d29166efb8a4e75dc6b96e843e9fe1d25b37bc969ef6d342c712d4ff59bcd053	a615d1445138c870edf9f0efeb7be0582545096f5c7e9c35c42e516d8039e81c	62e644496fe9cff43993b51e1e11abdb78dfc3aa54ad5d215d12639abbde109d	build/wric-1614-experiments/full-census-w1-min.class-3.ordinal-507547.pb.gz	dc7d401eb6d3e4e75cb97b2e0b1a5259979f9b9fb76e90637b86b5acfb36facc
4	492411	1616	7d54663db6205b8b9d23120924db47cb16ec402958e11bb42804a270f591abe7	6d144dcd6e8d9492626fd731e9429f2178f3446dae6d41c31e8d0aac9713bae8	01b12e54771eeeca69223ca532d3796abb938d0df5201ae9135d9331b7d2fa07	dbd5f8277119d3c597ea580377a95dea26595f03d09881187192e4e27983e505	build/wric-1614-experiments/full-census-w1-min.class-4.ordinal-492411.pb.gz	f898ca97d4caa5c65754656ff4f080ac127503eee197e3d0820c79fb713d17de
5	495139	1616	825d87ad0bd972601c36ba3a60fc4d406d5f8cd5c789db3a398b38152e0921ff	a242b662f57d8ab1d4ac1ab784b4163ea442ea0dbdd87d595c62f696d016da50	5e963356e90d74e107c9eea551e7d89450cdd0755e122ea7743ffbc45ecd6f5e	ef57d3ba3007e35056346b9c64cedfbe6867e14c04c99a8f27431a7809d194b6	build/wric-1614-experiments/full-census-w1-min.class-5.ordinal-495139.pb.gz	83d0f9c8bca7349b5445c78397b396de50d7195ac49646e149ebf00b49a859a6
6	404323	1616	a8a469833cfd07eeed2f7ee1afcc455bfff194b5c950d4ae5f83c09f077ac416	b4fa16a1616a570c0d60e17f7a40bce585584ef77675fc19b00c5a58030baa92	e3af9cfa16500bbe58b2097ab2c8ab10f345abdcfc7ab2ba1fe27a2a80ff13eb	f82d7fdfdd5d342598676af010fc7e43b0a1c135021739000d7422d830015f83	build/wric-1614-experiments/full-census-w1-min.class-6.ordinal-404323.pb.gz	965a822afe151d90e69938960269422ee517ad7bee1b6cb46eb4d6461cb56da1
7	374051	1616	ac431e8c3ec8b29c83f78f8955a3e74a335487becd5a3374c49f1825461d344f	448747ad804f0da29c5ec312c65e21cccb20fa8c59c73105bedf65d104db5168	70f564d4d66f4ec5f33faf3a4b0259e822d4d3da0dd640e9a6828ae6fd7fe382	113727683a63e3607dd4a8623d7c52bdf7b67c59ea17420687cc4cdc80685da3	build/wric-1614-experiments/full-census-w1-min.class-7.ordinal-374051.pb.gz	0ca614622ecc68d58aabde13fe3d0c9a2635d41ca6fbcba27821cf51cf536234
8	510275	1616	cefd56f2632d0c74ceaba88a9837b942f278427b22feb71b0c1a52ec1fed7cac	c54ffc891541053f2d1f6449f40d5f522a73ebf428fd89628a69757e2f6ef755	61e1e67c953e7e9e5be691d5c80f2bad60c7cc17faf5d64a446b4fd94eefe14b	d53a96b932cb047e35ea7d25a23499ea310a61fb3fcdd7fe11a7d4d9cf18aea9	build/wric-1614-experiments/full-census-w1-min.class-8.ordinal-510275.pb.gz	bb399a665356e051ca5f1c394330520110f07cf20e8577433d576ee8344ddeb6
9	371323	1616	de86597652b27422bcdda1a7e8d97e40b5350dfff5ba4fa326f3148a005ab974	5513bde37610d27ec9b1fc0fbb4812fc6e6b7d0b9d00df3cbba55a5362386e2f	922768f940536e5e6b6864d61758f30e206f9e2e837bc981e0c7f7f579444aee	9919fe3fb34425454c165e30df26031cd1863dc7dec81e68524c82bea0df4c66	build/wric-1614-experiments/full-census-w1-min.class-9.ordinal-371323.pb.gz	dbfe614d0eb859beeacfdc9a6c042288b5bfaf69d8a98241b76a07b302978cb0
