# Frozen-medium source plus subsets of byte-distinct fragments 5,21,37,40,45.
# For every row: min_score = 1642 + sum(predicted deltas), tree_count = 2^count.
mask	count	fragments	min_score	tree_count	nodes	edges
0	0		1642	1	1038	1037
1	1	5	1638	2	1040	1045
2	1	21	1640	2	1040	1049
3	2	5,21	1636	4	1042	1057
4	1	37	1641	2	1043	1048
5	2	5,37	1637	4	1045	1056
6	2	21,37	1639	4	1045	1060
7	3	5,21,37	1635	8	1047	1068
8	1	40	1632	2	1042	1050
9	2	5,40	1628	4	1044	1058
10	2	21,40	1630	4	1044	1062
11	3	5,21,40	1626	8	1046	1070
12	2	37,40	1631	4	1047	1061
13	3	5,37,40	1627	8	1049	1069
14	3	21,37,40	1629	8	1049	1073
15	4	5,21,37,40	1625	16	1051	1081
16	1	45	1637	2	1043	1050
17	2	5,45	1633	4	1045	1058
18	2	21,45	1635	4	1045	1062
19	3	5,21,45	1631	8	1047	1070
20	2	37,45	1636	4	1048	1061
21	3	5,37,45	1632	8	1050	1069
22	3	21,37,45	1634	8	1050	1073
23	4	5,21,37,45	1630	16	1052	1081
24	2	40,45	1627	4	1047	1063
25	3	5,40,45	1623	8	1049	1071
26	3	21,40,45	1625	8	1049	1075
27	4	5,21,40,45	1621	16	1051	1083
28	3	37,40,45	1626	8	1052	1074
29	4	5,37,40,45	1622	16	1054	1082
30	4	21,37,40,45	1624	16	1054	1086
31	5	5,21,37,40,45	1620	32	1056	1094
